Context,BF16 TTFT ms,INT3 TTFT ms,BF16 TPOT ms,INT3 TPOT ms,INT3/BF16 TTFT,INT3/BF16 TPOT
512,19.91454699999906,52.812603000006675,13.527222703124675,41.0110464843747,2.6519610513866656,3.03174179832949
2048,66.79410099999927,182.17660999999907,13.466688374999869,40.79990259374977,2.7274356159086723,3.029690853283012
4096,161.12959500000557,542.243740999993,13.750826093750224,40.979000984374906,3.3652647175087496,2.9801119369111895
