bits,candidate,ppl,ppl_delta_pct,pure_kv_mb,compression,effective_kv_bits,payload_mb,metadata_mb,residual_mb,auxiliary_mb,pass,note
4,4b SYM G32 R0,11.457243248300975,2.061409227951483,8.96484375,3.5555555555555554,4.5,7.96875,0.99609375,0.0,0.0,True,target=4; K4/V4; symmetric; Kaxis=dim; Kgroup=32; Vgroup=32; R0; metadata=bf16g64
4,4b META8g64 KSEQ32 VAFF32 R2,11.371123644476368,1.294253644535237,9.261474609375,3.441676551996837,4.648897058823529,7.953125,1.058349609375,0.25,0.0,True,target=4; K4/V4; affine; Kaxis=seq_affine; Kgroup=32; Vgroup=32; R2; metadata=int8g64
4,4b META8g64 KSEQ32 VAFF32 R4,11.231121116391218,0.04710762501041188,9.47607421875,3.363734734889473,4.756617647058824,7.921875,1.05419921875,0.5,0.0,True,target=4; K4/V4; affine; Kaxis=seq_affine; Kgroup=32; Vgroup=32; R4; metadata=int8g64
8,8b META8g256 G128 R0,11.229204023740856,0.030030115763546306,16.064453125,1.98419452887538,8.063725490196079,15.9375,0.126953125,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=128; Vgroup=128; R0; metadata=int8g256
8,8b META8g64 G128 R0,11.2112573408388,-0.12983938410262574,16.0703125,1.9834710743801653,8.066666666666666,15.9375,0.1328125,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=128; Vgroup=128; R0; metadata=int8g64
8,8b META8g64 K64 V128 R0,11.32473847522833,0.8810533974833223,16.13671875,1.9753086419753085,8.1,15.9375,0.19921875,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=64; Vgroup=128; R0; metadata=int8g64
8,8b SYM G128 R0,11.240912848676222,0.13433262094812992,16.1865234375,1.9692307692307693,8.125,15.9375,0.2490234375,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=128; Vgroup=128; R0; metadata=bf16g64
8,8b META8g64 G64 R0,11.311520543479311,0.7633077310828407,16.203125,1.9672131147540983,8.133333333333333,15.9375,0.265625,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=64; Vgroup=64; R0; metadata=int8g64
8,8b SYM K64 V128 R0,11.242424470959765,0.14779819003269967,16.31103515625,1.9541984732824427,8.1875,15.9375,0.37353515625,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=64; Vgroup=128; R0; metadata=bf16g64
8,8b META8g64 K32 V64 R0,11.152871843084515,-0.6499388574346066,16.3359375,1.951219512195122,8.200000000000001,15.9375,0.3984375,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=32; Vgroup=64; R0; metadata=int8g64
8,8b SYM G64 R0,11.238205363295906,0.11021427350708102,16.435546875,1.9393939393939394,8.25,15.9375,0.498046875,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=64; Vgroup=64; R0; metadata=bf16g64
8,8b LEGACY SYM K32 V64 R0,11.223506129492288,-0.020726868620712935,16.6845703125,1.9104477611940298,8.375,15.9375,0.7470703125,0.0,0.0,True,target=8; K8/V8; symmetric; Kaxis=dim; Kgroup=32; Vgroup=64; R0; metadata=bf16g64
