candidate,ppl,ppl_delta_pct,pure_kv_mb,compression,effective_kv_bits,payload_mb,metadata_mb,residual_mb,auxiliary_mb,final_pass,ms,note
BASE G32 R4,11.51456847679353,2.5720637961987203,7.44140625,4.283464566929134,3.7352941176470584,4.9609375,1.98046875,0.5,0.0,True,14231.021426500007,K3/V2 affine; Kseq32; Vgroup32; R4; metadata=bf16g256
GRP K128 V128 R3,12.534778848547424,11.660123287788494,5.83984375,5.45819397993311,2.931372549019608,4.96875,0.49609375,0.375,0.0,False,13806.439925999995,K3/V2 affine; Kseq128; Vgroup128; R3; metadata=bf16g256
GRP K128 V128 R4,12.340750389563132,9.931712925444035,5.9560546875,5.351696999508116,2.989705882352941,4.9609375,0.4951171875,0.5,0.0,False,13413.418252500036,K3/V2 affine; Kseq128; Vgroup128; R4; metadata=bf16g256
ADAPT-M8 K3-50 R4,12.365594808446712,10.153027629841516,5.9765625,5.333333333333333,3.0,4.4609375,1.015625,0.5,0.0,False,18725.533441500003,"K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256; K3 on top 16/32 layers, K2 elsewhere"
COMBO-M8 K3-75 R4-50/R1,12.461175769385799,11.004465218918757,6.05078125,5.26791478373144,3.037254901960784,4.72265625,1.015625,0.3125,0.0,False,17990.561621999972,"K3/V2 affine; Kseq32; Vgroup32; R4; metadata=int8g256; K3 on top 24/32 layers, K2 elsewhere; R4 on top 16/32 layers, R1 elsewhere"
GRP K128 V32 R3,11.951110924163544,6.46079482868418,6.578125,4.845605700712589,3.3019607843137253,4.96875,1.234375,0.375,0.0,False,14343.182624000008,K3/V2 affine; Kseq128; Vgroup32; R3; metadata=bf16g256
GRP K64 V32 R3,11.737553542215036,4.558420332451951,6.828125,4.668192219679634,3.4274509803921567,4.96875,1.484375,0.375,0.0,False,14056.153943499965,K3/V2 affine; Kseq64; Vgroup32; R3; metadata=bf16g256
